NSPR,INSPIREMD INC COM,.5183,+.0744,+16.76%,"20,940,845",.5255,.5290,.5800,.4699,-1.41,2.2 M,<empty>
TNXP,TONIX PHARMAS HLDG CORP COM,.6800,+.03,+4.62%,"20,238,011",.7080,.7100,.7120,.6350,-6.94,36 M,<empty>
KOS,KOSMOS ENERGY LTD (NA) COM,2.82,+.55,+24.23%,"20,227,038",2.80,2.88,2.87,2.43,-.46,"1,143 M",153.18%
MAC,MACERICH CO COM,11.16,+1.80,+19.23%,"19,703,734",11.30,11.56,11.76,10.80,.68,"1,580 M",108.67%
MNLO,MENLO THERAPEUTICS INC COM,2.06,-.15,-6.79%,"19,504,995",2.03,2.05,2.10,1.90,-3.23,281 M,162.09%
HPQ,HP INCORPORATION COM,17.41,+.94,+5.71%,"19,470,729",17.33,17.50,17.64,17.125,2.04,"24,892 M",44.64%
SABR,SABRE CORP COM,10.35,+1.33,+14.75%,"18,897,711",10.55,10.65,11.49,9.90,-.41,"2,852 M",137.01%
INO,INOVIO PHARMACEUTICALS INC COM,11.93,+.05,+0.42%,"18,795,296",12.04,12.05,12.3199,11.26,-1.17,"1,886 M",185.73%
KGC,KINROSS GOLD CORP COM,6.22,-.10,-1.58%,"18,683,964",6.05,6.25,6.22,5.99,.62,"7,822 M",66.55%
AA,ALCOA CORPORATION COM,12.07,+.43,+3.69%,"18,677,633",11.92,12.07,13.86,11.57,-4.57,"2,244 M",74.42%
OVV,OVINTIV INC COM,10.51,+1.70,+19.30%,"18,464,335",10.20,10.59,10.75,9.23,3.52,"2,731 M",125.20%
PK,PARK HOTELS & RESORTS INC COM,13.08,+1.12,+9.36%,"18,370,118",13.20,13.60,14.23,12.955,-1.93,"3,082 M",102.85%
CCH,COLLIER CREEK HOLDINGS COM,12.75,+1.85,+16.97%,"18,218,263",13.00,14.35,13.035,11.99,.17,712 M,<empty>
FET,FORUM ENERGY TECHNOLOGIES INC COM,.5200,+.1885,+56.86%,"18,199,305",.5100,.5390,.5350,.3651,-5.41,58 M,++
AGNC,AGNC INVESTMENT CORP COM,13.49,-.40,-2.88%,"18,129,114",13.59,13.64,14.55,13.43,-3.78,"7,546 M",42.17%
PE,PARSLEY ENERGY INC COM CL A,12.22,+.94,+8.33%,"17,690,866",12.16,12.22,12.495,11.915,-8.48,"5,044 M",79.19%
PBR/A,PETROLEO BRASILEIRO SA ADR SPONSORED,8.94,+.56,+6.68%,"17,246,190",8.89,15.25,9.075,8.87,-.08,"58,308 M",85.31%
PRTY,PARTY CITY HOLDCO INC COM,1.78,+.33,+22.76%,"16,862,430",1.75,1.79,1.84,1.60,-5.71,168 M,225.79%
NBL,NOBLE ENERGY INC COM,11.26,+1.12,+11.05%,"16,736,572",11.33,11.49,11.745,10.85,-10.78,"5,401 M",88.74%
HPE,HEWLETT PACKARD ENTERPRISE CO COM,11.11,+.63,+6.01%,"16,560,237",11.07,11.17,11.38,10.96,-.04,"14,274 M",53.26%
TMDI,TITAN MEDICAL INC COM,1.0400,-.53,-33.76%,"16,330,910",1.0000,1.0200,1.4400,1.0000,-.17,62 M,<empty>
SAN,BANCO SANTANDER SA ADR SPONSORED,2.81,+.20,+7.66%,"16,283,198",2.77,2.88,2.88,2.80,.294,"46,673 M",51.93%
TWO,TWO HARBORS INVESMENT CORP COM NEW,5.51,+.05,+0.92%,"16,273,313",5.60,5.83,6.15,5.42,-5.8,"1,507 M",97.18%
INPX,INPIXON COM,1.82,+.25,+15.92%,"15,902,514",2.04,2.05,1.82,1.56,15.27,45 M,<empty>
DVN,DEVON ENERGY CORP COM,14.60,+1.88,+14.78%,"15,550,339",14.53,15.00,14.90,13.50,-4.97,"5,587 M",76.09%
HBI,HANESBRANDS INC COM,12.92,+.98,+8.21%,"15,153,123",12.69,12.92,13.265,12.65,1.4,"4,497 M",68.35%
NBRV,NABRIVA THERAPEUTICS PLC COM,.7887,-.0043,-0.54%,"15,122,986",.7801,.7899,.8250,.7500,-1.08,113 M,++
CNP,CENTERPOINT ENERGY INC COM,18.25,+.20,+1.11%,"14,693,641",17.90,18.75,18.98,18.21,-1.39,"9,173 M",40.26%
VEON,VEON LTD ADR SPONSORED,1.70,+.08,+4.94%,"14,559,468",1.70,1.72,1.73,1.68,.14,"2,974 M",++
NOG,NORTHERN OIL & GAS INC (NEV) COM,.9417,+.1093,+13.13%,"14,293,787",.9471,.9800,.9800,.8799,.83,382 M,134.99%
TTI,TETRA TECHNOLOGIES COM,.5458,+.1499,+37.86%,"14,135,344",.5252,.5600,.5644,.4250,-1.09,69 M,++
CLDR,CLOUDERA INC COM,9.86,-.94,-8.70%,"13,883,616",9.88,9.90,10.79,9.81,-1.02,"2,912 M",68.06%
UAA,UNDER ARMOUR INC COM CL A,11.10,+.69,+6.63%,"13,743,071",11.07,11.17,11.59,10.97,-1.15,"5,040 M",74.60%
DXLG,DESTINATION XL GROUP INC COM,.5480,+.188,+52.22%,"13,677,433",.5202,.5431,.7445,.3600,-.16,28 M,++
OPK,OPKO HEALTH INC COM,2.35,+.08,+3.52%,"13,555,598",2.42,2.43,2.42,2.27,-.48,"1,574 M",148.14%
CCO,CLEAR CHANNEL OUTDOOR HLDGS IN COM,1.2900,+.34,+35.79%,"13,413,395",1.2600,1.3400,1.3500,.9900,-1.03,603 M,++
